headline,nickname,abstract,website,time,word,view,like
麦当劳新品测评，双倍鸡扒的川辣双鸡堡味道如何？,灏鲲,麦当劳家终于...终于..出新汉堡啦！这次的汉堡名为川辣双鸡堡，作为22元超值三件套中的一员出场，所谓的超值三件套就是汉堡+可乐+中薯=22元 ...,https://www.jianshu.com/p/54a9f0ab7b77,2018.11.15 15:17,713,176,2
又美又轻松又养生的运动指南全在这里了！（上）,一稼哈佛MBA,一稼： 前几天，我已经分享了逆生长秘诀中的睡眠和营养两部分（关注我，查看文章），今天就开启另一热点话题：运动! 运动的事一稼也没少走弯路：不爱运...,https://www.jianshu.com/p/607314a86f02,2018.11.15 10:35,2413,80,0
出血与进账,苏州的蔷薇花开,一早赶到牙防所的时候，八点钟还差五分，挂号室的姑娘还没来上班，挂号窗口早已挤满了人，冲锋陷阵一般挤进去，把病历卡放到了窗口。牙防所很奇怪...,https://www.jianshu.com/p/7e3512abbd9d,2018.11.15 13:39,831,512,2
冬天最高级的养生不是吃，而是补心,物道,老家在南方一个古老的村落，进入农历十月，天开始冷了，秋收也已走进尾声，只差最后庄重一笔——晒种子。 种子是精挑细选出来的，按理说它们已经晒过一秋...,https://www.jianshu.com/p/87c45a9797a6,2018.11.15 11:43,1453,274,6
想用坐姿划船练好背阔肌，这3个错误不能犯，5个要点要牢记！,波普董健身,3个坐姿划船常见错误阻拦你练出背阔肌，这5个要点让你突围 如果你已经健身一段时间了，那么想必你也听到过这样一句话：新手练胸，高手练背，老手练腿。...,https://www.jianshu.com/p/909b10ef9f8d,2018.11.15 11:05,1055,111,2
筹备一个不那么俗的婚礼,我想了100个昵称,听到周围越来越多的朋友说想要旅行结婚，想要两个人单纯的简单的具有仪式感的婚礼。其实无非是不想经历我们通常说的那种“世俗婚礼”，即一大群不知道姓名...,https://www.jianshu.com/p/84c06c06dd3d,2018.11.14 21:39,2907,138,4
超快手营养早餐秘笈,杨楚珍,每个清晨，从睁开惺忪的睡眼，到开始忙碌之前。能让人元气大涨的，除了一个温柔的吻，便是早餐了。 我曾经在很多个城市吃过早餐，西安的泡馍，广州的肠粉...,https://www.jianshu.com/p/9e11fc23c72f,2018.11.14 15:57,1203,182,6
一年读500本书是一种怎样的感觉？如何有效地读书？,成长力学院,我们经常会听到身边的，谁谁谁，一年读300本书，而很多所谓的大神在介绍自己的时候，也会提到一年至少读多少本书。 这些传奇的故事，让我们心向往之的...,https://www.jianshu.com/p/40a1664887ba,2018.11.15 05:02,2010,186,6
"如何来自制抹茶面膜,呵护精彩的每一天",是的YeS时尚,抹茶的面膜可滋养和保护皮肤。 绿茶不只是用来喝的哦！当用于脸上时，绿茶可以将抗氧化剂和其他有益特性直接传送到皮肤。有益的成分包括防止阳光损伤的多...,https://www.jianshu.com/p/611a47f27e42,2018.11.15 00:02,499,50,0
这个小众牌子媲美SK2，价格却只有一半/Tatcha,莫嫡Morettie,【引子】 莫叔，能点评下小众品牌Tatcha？ 要说一下这个牌子的品牌故事... 咳咳... 一说到品牌故事， 就让我想起了lamer，什么物理...,https://www.jianshu.com/p/baeab2e8021d,2018.11.15 08:52,837,269,12
养鱼有哪些必须学会的技能？给我218秒，让你养活一缸观赏鱼,哗仔说鱼,一入鱼缸深似海，半月死鱼七八百。都说隔行如隔山，养鱼大神戏酸奶。 对不起，我是哗仔！ 养鱼大神戏酸奶？ 相信对于那些刚刚开始养鱼的朋友来说，会被...,https://www.jianshu.com/p/d1243bfcbe3f,2018.11.15 08:46,1516,82,2
气血双补、浓香四溢的红枣老母鸡汤，幸福的味道,惠顾星辰,楼下最近有了个小小的露天菜市。今天早晨，居然看到有人在售卖自家散养土鸡，忍不住老母鸡汤的诱惑，果断花高价买了只带回家。天气越来越冷，煲个滋补营养...,https://www.jianshu.com/p/8f3964405713,2018.11.15 08:12,878,481,12
进超市购物，警惕孩子这些行为细节,幼儿说,你是怎么做的？ 周末，在一个食品展览会的大门前，我听到身旁有一位妈妈对她3，4岁模样的儿子说：“说好了啊，我们进去只是试吃，不买的啊！” 小男孩...,https://www.jianshu.com/p/58b7ddeae85d,2018.11.15 08:11,2058,43,0
孤独星球—长发及腰或短发及肩，喜欢就好,阳阳君,以前喜欢长发及腰，把头发留得好长好长，不舍得剪掉一点点，只是在造型上做些变化，拉直或者染烫。 今年暑假忽然想把头发剪短，就剪到的及肩的长度，本以...,https://www.jianshu.com/p/34b910f5e255,2018.11.14 23:41,982,101,5
不同脸型如何挑选帽子，看完再也不用担心选错帽子显脸大了,芳芳的爱美圣经,冬天最不能缺少的饰品是什么？ 当然是帽子和围巾啊。保暖又适凹造型。 如果你今天没洗头，如果你觉得冷，如果你觉得自己发型不好看……戴上帽子，通通能...,https://www.jianshu.com/p/472b2689bd7e,2018.11.14 23:14,1350,162,2
想不到！你爱吃的腰果，在树上长这个样子！,吃喝玩乐事儿,腰果，是办公室姑娘们最喜欢吃的零食之一。 特别是到了下午三四点钟，姑娘们经常会从抽屉里，拿出些瓶罐袋子，吃上几颗腰果零食，泡杯咖啡、奶茶，作为工...,https://www.jianshu.com/p/6705ba41c468,2018.11.14 19:55,2610,156,7
提升冬季幸福感好物分享（低至十元就能拥有）,琦形乖状,身边很多人一到冬天就觉得变的很烦躁或者无精打采，一整天的状态一个字就能概括，就是丧！ 怎么会呢，喜欢冬天的理由那么多，被子一样温暖的棉服身上一裹...,https://www.jianshu.com/p/3d42be451142,2018.11.14 17:54,3036,662,15
最好的分寸，是看透不说透,物道,中国人一直很讲究一个“度”，也就是常说的一种“过犹不及的分寸感”。将分寸把握得恰如其分，便能像水那样，能圆能方。 做饭烧菜讲火候；绘画时的留白，...,https://www.jianshu.com/p/02d82024961a,2018.11.14 17:24,1473,317,11
总是感冒?睡不好?精神不佳？你很可能是营养不良! (下),一稼哈佛MBA,一稼： 在前两周发布的营养篇（上篇）和（中篇），我们介绍了9种方法来帮助大家恢复肠胃活力: 1. 每天补充益生元和益生菌，增强肠道健康 2. 少...,https://www.jianshu.com/p/1f7064695bd3,2018.11.14 10:56,4108,55,2
亲子阅读应当从什么时候开始？如何开始？,幼儿语言和读写发展Lee,不管是在北京走访社区的时候还是在贵州进学校的时候，总会有家长问到这个问题：我应当在什么时间开始亲子阅读？最近读书的时候又读到了这一部分，索...,https://www.jianshu.com/p/c83e0bb3e83f,2018.11.14 13:21,1360,73,3
良心推荐几家比较信赖，买的东西比较多的商铺,我和小苹果的日常,首先声明我不做网店，代购，更不做微商，所以不存在打广告的成分。我觉得用的好的东西是值得分享的，一个人买开心，大家一起买更开心，同时也让大家免去一...,https://www.jianshu.com/p/3417b7c041d8,2018.11.14 13:21,1331,71,1
瞬间提升家居品位的布艺小物，还不赶紧屯起来！,子木以沫,NO.1 毛巾 手工拼接 图案精致 心机流苏边更显美观 手感的真的是超级棒 有了它，幸福每天都在吻你起床！ NO.2 抽纸袋 裸露在客厅的抽纸也...,https://www.jianshu.com/p/6fe5e0cef956,2018.11.14 15:49,386,64,1
如何教人骑自行车,ThunderFox,如何教人骑自行车 共享单车遍布大疆南北，但是真心不好骑，拿来练车倒是很不错的选择。作为攻城狮，上下班的锻炼还是很必要的。你会骑车么？一个人骑车多...,https://www.jianshu.com/p/25b608943728,2018.11.14 11:04,8012,41,1
秋冬护发指南,体态有声,"头发问题自检 平时很多错误的头发护理习惯，总会让你有一天站在镜子面前忘发兴叹。 自检一下,你是否经常出现以下问题，如果符合的项目越多，以后会脱发...",https://www.jianshu.com/p/7297dc0cc157,2018.11.14 13:18,1993,116,1
